97 4760981394323203445293052612223893281
98 2.13^2.239.293.1471.8109013290449.40710764977973
99 5.197.5741.52734529.93052705802012471592001
100 2^2.3.19.29.41.59.1549.29201.44465699.45245801.46025899
101 161733217200188571081311986634082331709
102 2.5.7.101.103.137.409.8297.15607.3610372009.20468307053
103 46349.20338092949190837574347617998161261
104 2^3.3.17.79.599.22307.33461.66923.2359699608747761281
105 5^2.13^2.29.269.3361.45697.1800193921.602905829188321
106 2.9940681.9742382798081.68480406462161287469
107 857.3637.2285652037.4494890327555188465636717
108 2^2.3^4.5.7.11.53.73.107.179.197.199.72577.146449.2585953.7761799
109 8990321.20760103282053089170205978270803621
110 2.23.29.41.109.353.5741.180511.183041.120159269.9393828511
111 5.593.1109.1777.78737.1101341.35532433.60420844473533
112 2^4.3.13^2.17.113.239.337.577.209441.1535466241.11276410240481
113 677.1295672163060559657.7228091685084761880821
114 2.5.7.37.457.14593.179057.1311797.7521721.9369319.53535197
115 29.229.225629.982789.1482552629.16926221323319388481
116 2^2.3.233.127497803.44560482149.63018038201.89120964299
117 5.197.389.33461.4605197.3647852170476820500182788801
118 2.13558774610046711780701.19175002942688032928599
119 13^2.137.953.8297.55217.124184528278158277156066844761
120 2^3.3^2.5^2.7.11.17.19.29.31^2.41.59.241.269.601.1153.2281.5521.1774998973441
121 5741.36541.3193189.446196005573.24479055365908097593
122 2.853.92111.19062257.4860136428481.1213319877845761591
123 5.429846869.1746860020068409.11358537748338103332221
124 2^2.3.61.1301.19219.192571.424577.865087.899123.3272609.27027163
125 29.1549.29201.129749.286001.120327001.42435944252714116001
126 2.5.7^2.13^2.127.197.199.239.4663.45697.198701.304728101.471978251263
127 118328383378321.26475364750681741.462419522774000629
128 2^7.3.17.257.577.1409.11777.665857.2393857.2448769.55780318173953
129 5.773.11437.34057.54437.890220016097.115733441597548339009
130 2.29.41.79.521.599.1949.15991.33461.804829.3385201.122370337440391
131 69783437.823071064447409386793.856801259058475927601
132 2^2.3^2.5.7.11^2.23.43.89.131.353.1187.5741.11483.16633.74051.37667521.52734529
133 13^2.37.2129.21013.179057.956269.172140037.34786900322220782861
134 2.4289.681400319.32474209598556281.3648126404899433465221
135 5^2.29.53.197.269.6481.146449.238321.3629521725022437903863265601
136 2^3.3.17^2.67.103.137.8297.15607.25841.33931.757793.7153349567063158273
137 821.149057.104715602061649.760355988023966234270396499013
138 2.5.7.47.229.982789.6771937.57887325592525441.81042255829535617
139 277.205019655488735878562039955639420609337628626679417
140 2^2.3.13^2.19.29.41.59.71.113.139.239.281.337.419.70139.2118059.17934071.1800193921
141 5.3761.73339177.91962100830401.2609806962121407432690292249
142 2.569.1279.215983.2644939853.353183656631413.2721156687009413567
143 5741.21737.33461.1323893.348978808693021039263536981052190741
144 2^4.3^3.5.7.11.17.73.97.179.197.199.577.1009.1153.13729.63073.1255393.1523089.29827009
145 29^2.9281.44560482149.32328736444651656710472588502580592949
146 2.2593399.1873724873.3626711833.465814116463.1653385841290367057
147 5.13^2.293.45697.544781.40710764977973.261178556094576293978379077
148 2^2.3.223.443.593.1481.37223.78737.1101341.8761009.52252289.102845515571963
149 15258494974757.25033433662289323209446285522381470904942857
150 2.5^3.7.29.31^2.41.149.151.269.751.1201.1549.29201.1371001.2004001.15024601.45245801
151 105097.948281.22338608880276260983846822002573763430915604857
152 2^3.3.17.37.227.379.1217.19457.34961.179057.9369319.2979768950208883122238913
153 5.101.137.197.8297.544373.19079713.20468307053.87386796701.6176457308449
154 2.13^2.23.239.353.5741.23869.41117.5142546641.14914856997041.110523055197017
155 29.61.1301.52081.3272609.30542441.1725731869.9280744349.394137535860001
156 2^2.3^2.5.7.11.79.313.389.599.1091.22307.33461.66923.2736707.4088137.4605197.814270393
157 1096384693.402044977369524231377671429965675154956934319925617
158 2.157.7741.34129.1735683721.2939707079.290781543899617.8646125287954009
159 5.317.34363686124853.68480406462161287469.688800788638739387000737
