# Smarandache numbers.
# Numbers formed by concatenation of positive integers in numerical order.
103 131.1231.1713675826579469.16908963624339537484508436321314327604030763349996047014668841426185197.P110

104 2^6.3.59.773.19601852982312892289.C177
#4590@11m
105 3.5.193.6942508281251.90853974148830729568788807471204169448373857.P146
106 2.11.127.827.95383501607400293616004374931.54259599094002572583355411045946413.375159085605310877928459072269605386653376782374874196433925741599663.P71
107 3^3.536288185369.P199
108 2^2.3^3.128451681010379681.132761751746390611923240080737166083.P161
109 7.1559.78176687.73024355266099724939.9943216978062352390003139833531.1330054388136326845371542874560114721263427298182714056642677810603.P90
110 2.3.5.4517.18443752916913621413.P198
111 3.293.431.230273.209071.241423723.3182306131.171974155987.1532064083461.59183601887848987.8526805649394145853.27151072184008709784271.P109
112 2^3.16619.449797.894009023.74225338554790133.10021106769497255963093.P169
113 3.11.13.5653.1016453.16784357.116507891014281007.6844495453726387858061775603297883751.C157
114 2.3.7.178333.2042059881000388200555074336219.8678622406220213516465050301044327.C
115 5.17.19.41.36607.71518987.283858194594979819.C202
116 2^2.3^2.2239.9787002048140152171263515060558503699.P198
117 3^2.31883.333699561211.28437086452217952631.C206
118 2.83.33352084523.20481677004050305811.5747203274595182101743782698650656863747.C174
119 3.59.101.139.2801.C239
120 2^4.3.5.13.16693063.C241
121 278240783.105299178204417486675841093021769.P214
122 2.3.23.618029123.31949422933783.P233
123 3.7.37.413923.1565875469.5500432543504219.12347002211187670552593982429.2829927788416784955921382453753.C
124 2^2.739393.1958521545734977.C242
125 3^2.5^3.4019.7715697265127.C247
126 2.3^2.29.103.70271.11513388742821485203.P241
127 53.269.4547.56560310643009044407.C245
128 2^3.3.7.11.59.215329.8154316249498591416487.C243
129 3.19.C277
130 2.5.166817332889.C269
131 3.19.83.1693.23210501651.575587270441.C256
132 2^2.3.79.2312656324607.C272
133 8223519074965787731.C272
134 2.3^3.73.6173.5527048386371021.1417349652747970442615118133.C243
135 3^3.5.11.37.647.1480867981.174496625453.151994480112757.C255
136 2^5.1259.4111.9485286634381.10151962417972135624157641.C253
137 3.7^2.7459866979837.144065103514544138702103468451.C258
138 2.3.181.78311.914569.413202386279227.C277
139 13.62814588973.115754581759.964458587927.9196988352200440482601.C252
140 2^2.3.5.23.761.1873.12841.34690415939.226556543956403897.10856300652094466205709.C248
141 3.107171.P309
